,Wikidata
http://www.wikidata.org/entity/Q270791,1.0
http://www.wikidata.org/entity/Q272231,1.0
http://www.wikidata.org/entity/Q2734310,1.0
http://www.wikidata.org/entity/Q2743,1.0
http://www.wikidata.org/entity/Q275596,1.0
http://www.wikidata.org/entity/Q277436,1.0
http://www.wikidata.org/entity/Q28051323,1.0
http://www.wikidata.org/entity/Q28140340,1.0
http://www.wikidata.org/entity/Q28324850,1.0
http://www.wikidata.org/entity/Q28337,1.0
http://www.wikidata.org/entity/Q28464789,1.0
http://www.wikidata.org/entity/Q28564,1.0
http://www.wikidata.org/entity/Q287472,1.0
http://www.wikidata.org/entity/Q28919945,1.0
http://www.wikidata.org/entity/Q28920117,1.0
http://www.wikidata.org/entity/Q28920810,1.0
http://www.wikidata.org/entity/Q28920813,1.0
http://www.wikidata.org/entity/Q28922885,1.0
http://www.wikidata.org/entity/Q28922887,1.0
http://www.wikidata.org/entity/Q28923023,1.0
http://www.wikidata.org/entity/Q28937412,1.0
http://www.wikidata.org/entity/Q29045219,1.0
http://www.wikidata.org/entity/Q2912,1.0
http://www.wikidata.org/entity/Q2914565,1.0
http://www.wikidata.org/entity/Q2916333,1.0
http://www.wikidata.org/entity/Q2933979,1.0
http://www.wikidata.org/entity/Q2945282,1.0
http://www.wikidata.org/entity/Q2974552,1.0
http://www.wikidata.org/entity/Q3024240,1.0
http://www.wikidata.org/entity/Q30267,1.0
http://www.wikidata.org/entity/Q30302706,1.0
http://www.wikidata.org/entity/Q3092938,1.0
http://www.wikidata.org/entity/Q31855,1.0
http://www.wikidata.org/entity/Q3220391,1.0
http://www.wikidata.org/entity/Q3257686,1.0
http://www.wikidata.org/entity/Q3301053,1.0
http://www.wikidata.org/entity/Q33146843,1.0
http://www.wikidata.org/entity/Q3331189,0.9914776910616994
http://www.wikidata.org/entity/Q33506,0.9999308460979911
http://www.wikidata.org/entity/Q3360632,1.0
http://www.wikidata.org/entity/Q33742,1.0
http://www.wikidata.org/entity/Q341,1.0
http://www.wikidata.org/entity/Q3457162,1.0
http://www.wikidata.org/entity/Q3467906,1.0
http://www.wikidata.org/entity/Q34763,1.0
http://www.wikidata.org/entity/Q34770,1.0
http://www.wikidata.org/entity/Q34812,1.0
http://www.wikidata.org/entity/Q3505887,1.0
